排名,球員,2025/26,2026/27,2027/28,2028/29
1,Stephen Curry,"$ 62,587,158",-,-,-
2,Nikola Jokic,"$ 59,033,114","P $ 62,841,702",-,-
T3,G. Antetokounmpo,"$ 58,456,566","P $ 62,786,682",-,-
T3,Anthony Davis,"$ 58,456,566","P $ 62,786,682",-,-
T3,Jayson Tatum,"$ 58,456,566","$ 62,786,682","$ 67,116,798","P $ 71,446,914"
T6,Jaylen Brown,"$ 57,736,350","$ 61,672,814","$ 65,609,278",-
T6,Joel Embiid,"$ 57,736,350","$ 62,355,258","$ 66,974,166",-
T8,K. Towns,"$ 57,078,728","P $ 61,015,192",-,-
T8,Devin Booker,"$ 57,078,728","$ 61,015,192","$ 72,042,305","P $ 77,805,689"
10,Jimmy Butler,"$ 56,832,773",-,-,-
11,Paul George,"$ 54,126,380","P $ 56,586,670",-,-
12,Luka Doncic,"$ 51,033,600","$ 55,116,288","P $ 59,198,976",-
13,Kawhi Leonard,"$ 50,300,000",-,-,-
T14,Donovan Mitchell,"$ 50,105,628","$ 60,900,000","$ 65,772,000","$ 70,644,000"
T14,Cade Cunningham,"$ 50,105,628","$ 53,817,156","$ 57,528,684","$ 61,240,212"
T14,Evan Mobley,"$ 50,105,628","$ 53,817,156","$ 57,528,684","$ 61,240,212"
T14,Jamal Murray,"$ 50,105,628","$ 53,817,156","$ 57,528,684",-
T18,Trae Young,"$ 49,488,300","$ 50,478,066","$ 54,437,130","P $ 58,396,194"
T18,De'Aaron Fox,"$ 49,488,300","$ 53,447,364","$ 57,406,428","$ 61,365,492"
T18,Bam Adebayo,"$ 49,488,300","$ 53,447,364","P $ 57,406,428",-
